YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,water_l1,avg_water_l1
2017,3,30,0,11,53,1230.05,NULL
2017,3,30,0,29,20,1230.07,NULL
2017,3,30,0,41,52,1228.42,NULL
2017,3,30,0,59,21,1233.43,NULL
2017,3,30,1,11,54,1226.17,NULL
2017,3,30,1,28,3,1229.31,NULL
2017,3,30,1,42,23,1235.07,NULL
2017,3,30,2,16,0,1238.33,NULL
2017,3,30,2,26,52,1246.79,NULL
2017,3,30,2,43,4,1247.9,NULL
2017,3,30,2,57,1,1253.32,NULL
2017,3,30,3,11,51,1251.67,NULL
2017,3,30,3,44,20,1263.01,NULL
2017,3,30,4,1,7,1265.27,NULL
2017,3,30,4,11,54,1270.49,NULL
2017,3,30,4,28,1,1275.91,NULL
2017,3,30,4,41,56,1276.03,NULL
2017,3,30,4,56,51,1279.23,NULL
2017,3,30,5,13,1,1284.66,NULL
2017,3,30,5,26,51,1281.27,NULL
2017,3,30,5,43,30,1285,NULL
2017,3,30,5,56,52,1279.61,NULL
2017,3,30,6,11,52,1281.14,NULL
2017,3,30,6,26,52,1273.58,NULL
2017,3,30,6,43,29,1279.44,NULL
2017,3,30,6,56,51,1276.3,NULL
2017,3,30,7,14,20,1267.07,NULL
2017,3,30,7,26,52,1276.57,NULL
2017,3,30,7,43,34,1265.75,NULL
2017,3,30,7,56,52,1267.68,NULL
2017,3,30,8,11,51,1267.68,NULL
2017,3,30,8,29,27,1263.82,NULL
2017,3,30,8,41,53,1267.26,NULL
2017,3,30,8,58,2,1263.24,NULL
2017,3,30,9,14,8,1257.16,NULL
2017,3,30,9,26,54,1261.1,NULL
2017,3,30,9,41,52,1254.48,NULL
2017,3,30,9,58,2,1256.95,NULL
2017,3,30,10,29,24,1253.91,NULL
2017,3,30,10,41,53,1255.55,NULL
2017,3,30,10,58,10,1251.55,NULL
2017,3,30,11,14,18,1256.55,NULL
2017,3,30,11,30,52,1252.71,NULL
2017,3,30,11,41,49,1252.01,NULL
2017,3,30,11,58,3,1245.39,NULL
2017,3,30,12,11,52,1244.72,NULL
2017,3,30,12,26,50,1241.85,NULL
2017,3,30,12,43,4,1237.81,NULL
2017,3,30,12,56,51,1234.36,NULL
2017,3,30,13,13,17,1235.28,NULL
2017,3,30,13,26,52,1237.98,NULL
2017,3,30,13,44,42,1235.95,NULL
2017,3,30,13,56,54,1240.5,NULL
2017,3,30,14,13,3,1244.58,NULL
2017,3,30,14,29,12,1246.33,NULL
2017,3,30,14,41,52,1246.93,NULL
2017,3,30,14,59,27,1255.45,NULL
2017,3,30,15,16,4,1257.44,NULL
